specification,outcome,outcome_label,exposure,n,clusters,coefficient,standard_error_crv3,t_value,df,p_value_t_g_minus_1,ci_low,ci_high,outcome_mean,exposure_mean,wild_bootstrap_type,wild_weights,wild_reps,wild_p_value,excluded_country
Exclude BRA,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.0008972551936808879,0.0007984391103650148,-1.1237615768479805,16,0.27769269531285623,-0.002589870494849187,0.0007953601074874112,0.20743034055727555,16.767029116708997,,,,,BRA
Exclude CAN,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.0007801608208965868,0.0007666120804440089,-1.01767352850053,16,0.3239757011776167,-0.002405305832676872,0.0008449841908836984,0.22291021671826625,15.688542131161206,,,,,CAN
Exclude CHN,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.000903907050742959,0.0007589715828798807,-1.1909629703303617,16,0.25103724489089974,-0.002512854931248362,0.0007050408297624439,0.23219814241486067,16.107618960931855,,,,,CHN
Exclude DEU,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.000690951640551238,0.0009830844386598593,-0.7028405835546978,16,0.4922555849712922,-0.0027749975516482258,0.00139309427054575,0.21671826625386997,14.260141038504134,,,,,DEU
Exclude FRA,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.000689418223163344,0.0009473273086737623,-0.7277508173268167,16,0.4772817535730485,-0.002697662404917862,0.001318825958591174,0.20743034055727555,13.746984737460105,,,,,FRA
Exclude GBR,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.0007416832346116458,0.0009814488624484835,-0.7557023732864909,16,0.46080920502332456,-0.002822261879030858,0.0013388954098075667,0.20743034055727555,15.41579395934113,,,,,GBR
Exclude IDN,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.0009031915494841615,0.0007663649544628404,-1.1785397338755208,16,0.25581226040305355,-0.0025278126775873924,0.0007214295786190693,0.23219814241486067,16.408465656180528,,,,,IDN
Exclude IND,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.0009663486742061617,0.0007580722924218409,-1.274744749104248,16,0.22060156157749058,-0.0025733901441040265,0.0006406927956917033,0.22910216718266255,16.730760319440925,,,,,IND
Exclude ITA,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.0009858615102077534,0.000775934926870343,-1.2705466348629628,16,0.22205454578043307,-0.0026307700735310503,0.0006590470531155433,0.20743034055727555,15.398361735504583,,,,,ITA
Exclude JPN,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.000880478711942904,0.0007824792488142774,-1.1252422518260121,16,0.2770833994986256,-0.002539260618034957,0.0007783031941491494,0.20743034055727555,16.176684905703837,,,,,JPN
Exclude KOR,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.0012768199941157006,0.000532140633180329,-2.39940330525938,16,0.028953650867879748,-0.0024049077423256337,-0.00014873224590576748,0.22291021671826625,15.577187416159289,,,,,KOR
Exclude MEX,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.0006947637893506146,0.0007601932258147404,-0.9139305189229995,16,0.37432083484157164,-0.002306301437187383,0.0009167738584861534,0.2260061919504644,16.466054127702698,,,,,MEX
Exclude RUS,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.0011394536720895937,0.0006839086193845053,-1.6660905269991533,16,0.11514916721117226,-0.0025892751785058987,0.000310367834326711,0.21981424148606812,16.936366284763864,,,,,RUS
Exclude SAU,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,342,18,-0.0008994412717740491,0.000740327303080637,-1.2149238154952677,17,0.24100069612349537,-0.0024613953485089035,0.0006625128049608052,0.21929824561403508,16.05236750974825,,,,,SAU
Exclude TUR,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.0010824650050879152,0.0007276450454719077,-1.487627809498644,16,0.15629128007644458,-0.0026250035929359034,0.0004600735827600727,0.22291021671826625,16.80581383046254,,,,,TUR
Exclude USA,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.000938717406940725,0.0007542251263699123,-1.2446116870420036,16,0.23119769270339036,-0.0025376032491381227,0.0006601684352566725,0.2260061919504644,16.623899058319374,,,,,USA
Exclude ZAF,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.0010359256300261329,0.0007569495571676323,-1.368553056431367,16,0.190049458985387,-0.0026405870075089785,0.0005687357474567127,0.21981424148606812,16.790046311720335,,,,,ZAF
